observation,nameCode,regex,refactoring,lookupCode,accuracy
1,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
2,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,NA
3,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.8
4,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
5,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
6,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
7,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
8,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
9,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
10,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.5
11,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
12,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
13,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,NA
14,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.4
15,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.75
16,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.5
17,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
18,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
19,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.4
20,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,NA
21,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
22,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.4
23,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
24,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
25,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.6
26,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.8
27,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.4
28,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,0.8
29,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,NA
30,M3R0V0_OCTRNG,R0,OCTRNG,M3R0V0_OCTRNG,1
1,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
2,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0.75
3,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
4,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
5,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,NA
6,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
7,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
8,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
9,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
10,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0.8
11,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
12,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
13,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
14,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
15,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0.6
16,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0.25
17,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
18,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
19,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,NA
20,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0.8
21,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
22,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
23,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
24,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
25,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
26,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
27,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
28,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
29,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,0
30,M3R1V0_OCTRNG,R1,OCTRNG,M3R1V0_OCTRNG,1
1,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
2,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
3,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
4,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
5,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
6,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
7,M6R2V0_C3,R2,C3,M6R0V0_OR,0.25
8,M6R2V0_C3,R2,C3,M6R0V0_OR,1
9,M6R2V0_C3,R2,C3,M6R0V0_OR,1
10,M6R2V0_C3,R2,C3,M6R0V0_OR,0
11,M6R2V0_C3,R2,C3,M6R0V0_OR,0.8
12,M6R2V0_C3,R2,C3,M6R0V0_OR,0.8
13,M6R2V0_C3,R2,C3,M6R0V0_OR,1
14,M6R2V0_C3,R2,C3,M6R0V0_OR,1
15,M6R2V0_C3,R2,C3,M6R0V0_OR,1
16,M6R2V0_C3,R2,C3,M6R0V0_OR,1
17,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
18,M6R2V0_C3,R2,C3,M6R0V0_OR,0.25
19,M6R2V0_C3,R2,C3,M6R0V0_OR,1
20,M6R2V0_C3,R2,C3,M6R0V0_OR,0.6
21,M6R2V0_C3,R2,C3,M6R0V0_OR,0.8
22,M6R2V0_C3,R2,C3,M6R0V0_OR,1
23,M6R2V0_C3,R2,C3,M6R0V0_OR,1
24,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
25,M6R2V0_C3,R2,C3,M6R0V0_OR,1
26,M6R2V0_C3,R2,C3,M6R0V0_OR,1
27,M6R2V0_C3,R2,C3,M6R0V0_OR,1
28,M6R2V0_C3,R2,C3,M6R0V0_OR,1
29,M6R2V0_C3,R2,C3,M6R0V0_OR,0.4
30,M6R2V0_C3,R2,C3,M6R0V0_OR,1
1,M6R3V0_C3,R3,C3,M6R1V0_OR,1
2,M6R3V0_C3,R3,C3,M6R1V0_OR,1
3,M6R3V0_C3,R3,C3,M6R1V0_OR,0.8
4,M6R3V0_C3,R3,C3,M6R1V0_OR,1
5,M6R3V0_C3,R3,C3,M6R1V0_OR,1
6,M6R3V0_C3,R3,C3,M6R1V0_OR,0.8
7,M6R3V0_C3,R3,C3,M6R1V0_OR,1
8,M6R3V0_C3,R3,C3,M6R1V0_OR,1
9,M6R3V0_C3,R3,C3,M6R1V0_OR,1
10,M6R3V0_C3,R3,C3,M6R1V0_OR,1
11,M6R3V0_C3,R3,C3,M6R1V0_OR,1
12,M6R3V0_C3,R3,C3,M6R1V0_OR,0.4
13,M6R3V0_C3,R3,C3,M6R1V0_OR,1
14,M6R3V0_C3,R3,C3,M6R1V0_OR,0.4
15,M6R3V0_C3,R3,C3,M6R1V0_OR,1
16,M6R3V0_C3,R3,C3,M6R1V0_OR,1
17,M6R3V0_C3,R3,C3,M6R1V0_OR,1
18,M6R3V0_C3,R3,C3,M6R1V0_OR,0.8
19,M6R3V0_C3,R3,C3,M6R1V0_OR,1
20,M6R3V0_C3,R3,C3,M6R1V0_OR,1
21,M6R3V0_C3,R3,C3,M6R1V0_OR,1
22,M6R3V0_C3,R3,C3,M6R1V0_OR,1
23,M6R3V0_C3,R3,C3,M6R1V0_OR,1
24,M6R3V0_C3,R3,C3,M6R1V0_OR,1
25,M6R3V0_C3,R3,C3,M6R1V0_OR,1
26,M6R3V0_C3,R3,C3,M6R1V0_OR,1
27,M6R3V0_C3,R3,C3,M6R1V0_OR,1
28,M6R3V0_C3,R3,C3,M6R1V0_OR,1
29,M6R3V0_C3,R3,C3,M6R1V0_OR,1
30,M6R3V0_C3,R3,C3,M6R1V0_OR,1
1,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
2,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.3333333333
3,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
4,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
5,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
6,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
7,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.5
8,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
9,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.8
10,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
11,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
12,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
13,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
14,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
15,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.5
16,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
17,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
18,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
19,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.8
20,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
21,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
22,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
23,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
24,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
25,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
26,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.8
27,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
28,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,0.6
29,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
30,M3R0V1_CCC,R0,CCC,M3R0V1_CCC,1
1,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
2,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
3,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
4,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
5,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
6,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
7,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
8,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
9,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
10,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
11,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
12,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
13,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
14,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
15,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
16,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
17,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
18,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
19,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
20,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
21,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
22,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.8
23,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
24,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
25,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,0.5
26,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
27,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
28,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
29,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
30,M3R1V1_CCC,R1,CCC,M3R1V1_CCC,1
1,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.5
2,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.6
3,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
4,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
5,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,1
6,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,NA
7,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.5
8,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,1
9,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
10,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
11,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
12,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
13,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.6
14,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,1
15,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
16,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.5
17,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
18,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.5
19,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,1
20,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.6
21,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.3333333333
22,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
23,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
24,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
25,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,NA
26,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.5
27,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.6
28,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.8
29,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
30,M6R2V2_OCTCCC,R2,OCTCCC,M6R0V2_OCTCCC,0.4
1,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.2
2,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
3,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
4,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.5
5,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.4
6,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.25
7,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
8,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.25
9,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
10,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
11,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.4
12,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.4
13,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.2
14,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
15,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
16,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
17,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.25
18,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,NA
19,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
20,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,NA
21,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
22,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.4
23,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
24,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.4
25,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.25
26,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,NA
27,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,0.2
28,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
29,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,NA
30,M6R3V2_OCTCCC,R3,OCTCCC,M6R1V2_OCTCCC,1
1,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
2,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
3,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
4,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
5,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
6,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
7,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
8,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
9,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
10,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.8
11,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
12,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.8
13,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
14,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
15,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
16,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
17,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.2
18,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
19,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
20,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.2
21,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
22,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
23,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.6
24,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
25,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
26,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.4
27,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,0.8
28,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
29,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
30,M3R0V2_HEXRNG,R0,HEXRNG,M3R0V2_HEXRNG,1
1,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
2,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0.6
3,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,NA
4,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
5,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
6,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,NA
7,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
8,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0.5
9,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
10,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0.8
11,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,NA
12,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0
13,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
14,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
15,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
16,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
17,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
18,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,NA
19,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
20,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0.8
21,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
22,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
23,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,0.3333333333
24,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
25,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
26,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
27,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
28,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
29,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1
30,M3R1V2_HEXRNG,R1,HEXRNG,M3R1V2_HEXRNG,1