UniqueID,HIT_ID,String,String1,String2,nCorrect_over_nAnswered
0,0,([:;])’,([:;]),([:;]),1
1,0,fa[lmnop][lmnop][lmnop]’,fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
2,0,(deedo(do)?)’,(deedo(do)?),(deedo(do)?),0.8
3,0,&([A-Za-z0-9_]+);’,&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
4,0,[a-f](\d+)[a-f]’,[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.8
5,0,t[\072-\073]+p’,t[\072-\073]+p,t[\072-\073]+p,1
6,0,RR*’,RR*,RR*,1
7,0,[^0-9A-Za-z]’,[^0-9A-Za-z],[^0-9A-Za-z],0.4
8,0,\{\$(\d+\.\d)\}’,\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},0.8
9,0,no(w|x|y|z)5’,no(w|x|y|z)5,no(w|x|y|z)5,1
10,1,[^0-9]’,[^0-9],[^0-9],0.6
11,1,(deedo(do)?)’,(deedo(do)?),(deedo(do)?),0.6
12,1,xyz[\0133-\0140]’,xyz[\0133-\0140],xyz[\0133-\0140],0.6
13,1,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.4
14,1,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.5
15,1,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],0.5
16,1,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.5
17,1,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),0.8
18,1,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],0.6
19,1,zaa*',zaa*,zaa*,0.6
20,2,RR*',RR*,RR*,1
21,2,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
22,2,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.8
23,2,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
24,2,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],0.6
25,2,(:|;)',(:|;),(:|;),1
26,2,[^0-9]',[^0-9],[^0-9],0
27,2,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
28,2,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
29,2,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
30,3,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
31,3,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.8
32,3,(:|;)',(:|;),(:|;),1
33,3,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
34,3,no[wxyz]5',no[wxyz]5,no[wxyz]5,0.8
35,3,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
36,3,((q4f)?ab)',((q4f)?ab),((q4f)?ab),1
37,3,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,1
38,3,tuv\w',tuv\w,tuv\w,0.2
39,3,za+',za+,za+,1
40,4,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,0.8
41,4,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),0.4
42,4,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
43,4,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
44,4,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],0
45,4,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
46,4,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
47,4,RR*',RR*,RR*,0.6
48,4,([:;])',([:;]),([:;]),1
49,4,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],0.6
50,5,tuv\w',tuv\w,tuv\w,0.8
51,5,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",0.6
52,5,tri[a-f]3',tri[a-f]3,tri[a-f]3,0.4
53,5,[\s]',[\s],[\s],1
54,5,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.8
55,5,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.6
56,5,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
57,5,za+',za+,za+,0.8
58,5,(q4fab|ab)',(q4fab|ab),(q4fab|ab),0.8
59,5,t[:;]+p',t[:;]+p,t[:;]+p,1
60,6,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.8
61,6,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
62,6,&(\w+);',&(\w+);,&(\w+);,NA
63,6,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},0.6
64,6,[\s]',[\s],[\s],NA
65,6,t[:;]+p',t[:;]+p,t[:;]+p,1
66,6,RR*',RR*,RR*,0.8
67,6,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
68,6,(:|;)',(:|;),(:|;),0.8
69,6,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
70,7,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
71,7,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.6
72,7,zaa*',zaa*,zaa*,1
73,7,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
74,7,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.3333333333
75,7,t[:;]+p',t[:;]+p,t[:;]+p,1
76,7,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
77,7,[\D]',[\D],[\D],0.6
78,7,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.4
79,7,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,0.8
80,8,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
81,8,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
82,8,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.4
83,8,tuv\w',tuv\w,tuv\w,1
84,8,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
85,8,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],NA
86,8,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
87,8,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
88,8,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",1
89,8,zaa*',zaa*,zaa*,1
90,9,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
91,9,\..*',\..*,\..*,0.6
92,9,(\{|\})',(\{|\}),(\{|\}),0.4
93,9,tuv\w',tuv\w,tuv\w,0.8
94,9,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),0.8
95,9,[\D]',[\D],[\D],0.4
96,9,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,0.8
97,9,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,0.6
98,9,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.8
99,9,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.6
100,10,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.4
101,10,[\W_]',[\W_],[\W_],0.6
102,10,&(\w+);',&(\w+);,&(\w+);,0.4
103,10,([:;])',([:;]),([:;]),0.4
104,10,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.6
105,10,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,0.6
106,10,R+',R+,R+,0.6
107,10,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],0.75
108,10,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.8
109,10,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],0.6
110,11,(\{|\})',(\{|\}),(\{|\}),0.4
111,11,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",1
112,11,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.6
113,11,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
114,11,za+',za+,za+,1
115,11,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
116,11,t[:;]+p',t[:;]+p,t[:;]+p,1
117,11,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",0.8
118,11,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.8
119,11,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
120,12,(\{|\})',(\{|\}),(\{|\}),0.4
121,12,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],0.8
122,12,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
123,12,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.6
124,12,1q\w\w',1q\w\w,1q\w\w,0.6
125,12,zaa*',zaa*,zaa*,0.6
126,12,[^0-9]',[^0-9],[^0-9],0.4
127,12,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.8
128,12,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],0.6
129,12,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.6
130,13,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
131,13,zaa*',zaa*,zaa*,1
132,13,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
133,13,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
134,13,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
135,13,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
136,13,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,NA
137,13,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
138,13,(:|;)',(:|;),(:|;),1
139,13,[^0-9]',[^0-9],[^0-9],1
140,14,(:|;)',(:|;),(:|;),1
141,14,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",1
142,14,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
143,14,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),1
144,14,\.+',\.+,\.+,1
145,14,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
146,14,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
147,14,t[:;]+p',t[:;]+p,t[:;]+p,1
148,14,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
149,14,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.6
150,15,(:|;)',(:|;),(:|;),0.8
151,15,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.6
152,15,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.4
153,15,1q\w\w',1q\w\w,1q\w\w,1
154,15,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],1
155,15,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.4
156,15,za+',za+,za+,0.6
157,15,tri[a-f]3',tri[a-f]3,tri[a-f]3,0.6
158,15,((q4f)?ab)',((q4f)?ab),((q4f)?ab),1
159,15,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.4
160,16,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,0.8
161,16,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],0.3333333333
162,16,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.4
163,16,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.2
164,16,([}{])',([}{]),([}{]),0.2
165,16,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",0.2
166,16,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.6
167,16,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.6
168,16,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),0.6
169,16,RR*',RR*,RR*,0.6
170,17,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.6
171,17,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
172,17,(q4fab|ab)',(q4fab|ab),(q4fab|ab),0.8
173,17,[^0-9]',[^0-9],[^0-9],0.25
174,17,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,0.8
175,17,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,0.75
176,17,no[wxyz]5',no[wxyz]5,no[wxyz]5,0.8
177,17,\..*',\..*,\..*,0.5
178,17,([\072\073])',([\072\073]),([\072\073]),0.2
179,17,tuv\w',tuv\w,tuv\w,0.4
180,18,(:|;)',(:|;),(:|;),1
181,18,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
182,18,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
183,18,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,1
184,18,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
185,18,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),1
186,18,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
187,18,\..*',\..*,\..*,1
188,18,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",1
189,18,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
190,19,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
191,19,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],0.4
192,19,((q4f)?ab)',((q4f)?ab),((q4f)?ab),NA
193,19,RR*',RR*,RR*,1
194,19,([\0175\0173])',([\0175\0173]),([\0175\0173]),1
195,19,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
196,19,tuv\w',tuv\w,tuv\w,0.4
197,19,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
198,19,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
199,19,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
200,20,za+',za+,za+,1
201,20,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],0.8
202,20,1q\w\w',1q\w\w,1q\w\w,0.4
203,20,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.25
204,20,tri[a-f]3',tri[a-f]3,tri[a-f]3,0.6
205,20,([}{])',([}{]),([}{]),NA
206,20,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
207,20,[\W_]',[\W_],[\W_],0
208,20,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",0.8
209,20,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),NA
210,21,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
211,21,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
212,21,\.+',\.+,\.+,1
213,21,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
214,21,([\072\073])',([\072\073]),([\072\073]),1
215,21,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
216,21,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
217,21,(q4fab|ab)',(q4fab|ab),(q4fab|ab),1
218,21,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
219,21,tuv\w',tuv\w,tuv\w,1
220,22,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
221,22,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
222,22,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.8
223,22,([}{])',([}{]),([}{]),1
224,22,&(\w+);',&(\w+);,&(\w+);,0.8
225,22,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
226,22,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},0.8
227,22,[\s]',[\s],[\s],1
228,22,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],1
229,22,zaa*',zaa*,zaa*,1
230,23,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
231,23,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
232,23,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),1
233,23,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
234,23,([}{])',([}{]),([}{]),1
235,23,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
236,23,tuv\w',tuv\w,tuv\w,1
237,23,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
238,23,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,NA
239,23,\.+',\.+,\.+,1
240,24,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
241,24,[\s]',[\s],[\s],0.8
242,24,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
243,24,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),1
244,24,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
245,24,\..*',\..*,\..*,1
246,24,tuv\w',tuv\w,tuv\w,1
247,24,([\072\073])',([\072\073]),([\072\073]),1
248,24,((q4f)?ab)',((q4f)?ab),((q4f)?ab),1
249,24,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],1
250,25,RR*',RR*,RR*,1
251,25,&(\w+);',&(\w+);,&(\w+);,0.8
252,25,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
253,25,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),0.6
254,25,([\072\073])',([\072\073]),([\072\073]),0.5
255,25,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],1
256,25,no[w-z]5',no[w-z]5,no[w-z]5,1
257,25,[\D]',[\D],[\D],1
258,25,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.6
259,25,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
260,26,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),0.6
261,26,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),0.4
262,26,R+',R+,R+,0.6
263,26,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.6
264,26,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,0.8
265,26,(\{|\})',(\{|\}),(\{|\}),0.4
266,26,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
267,26,t[:;]+p',t[:;]+p,t[:;]+p,1
268,26,&(\w+);',&(\w+);,&(\w+);,0.8
269,26,[\s]',[\s],[\s],1
270,27,no[w-z]5',no[w-z]5,no[w-z]5,1
271,27,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
272,27,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.4
273,27,1q\w\w',1q\w\w,1q\w\w,1
274,27,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
275,27,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),1
276,27,[\W_]',[\W_],[\W_],1
277,27,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
278,27,\.+',\.+,\.+,0.8
279,27,([:;])',([:;]),([:;]),1
280,28,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
281,28,R+',R+,R+,1
282,28,1q\w\w',1q\w\w,1q\w\w,0.75
283,28,([\0175\0173])',([\0175\0173]),([\0175\0173]),NA
284,28,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
285,28,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),NA
286,28,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
287,28,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
288,28,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
289,28,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],1
290,29,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.6
291,29,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,0.8
292,29,([\072\073])',([\072\073]),([\072\073]),0.4
293,29,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,1
294,29,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],0.8
295,29,1q\w\w',1q\w\w,1q\w\w,0.8
296,29,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
297,29,\.+',\.+,\.+,0.8
298,29,[^0-9]',[^0-9],[^0-9],1
299,29,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.6
300,30,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.25
301,30,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.75
302,30,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),0.6
303,30,zaa*',zaa*,zaa*,0.8
304,30,t[:;]+p',t[:;]+p,t[:;]+p,1
305,30,[\W_]',[\W_],[\W_],0.5
306,30,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.5
307,30,(q4fab|ab)',(q4fab|ab),(q4fab|ab),0.25
308,30,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],0.75
309,30,tuv\w',tuv\w,tuv\w,0.8
310,31,tuv\w',tuv\w,tuv\w,1
311,31,\.+',\.+,\.+,1
312,31,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],1
