UniqueID,HIT_ID,String,String1,String2,nCorrect_over_nAnswered
313,31,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
314,31,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.6
315,31,no[w-z]5',no[w-z]5,no[w-z]5,0.8
316,31,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],0
317,31,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
318,31,(:|;)',(:|;),(:|;),1
319,31,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
320,32,[\W_]',[\W_],[\W_],0.8
321,32,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.75
322,32,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.75
323,32,(:|;)',(:|;),(:|;),1
324,32,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.6
325,32,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],0.6
326,32,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,0.6
327,32,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},0
328,32,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.4
329,32,za+',za+,za+,0.6
330,33,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
331,33,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",1
332,33,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
333,33,[\D]',[\D],[\D],1
334,33,\..*',\..*,\..*,1
335,33,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),1
336,33,([}{])',([}{]),([}{]),1
337,33,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
338,33,1q[A-Za-z0-9_][A-Za-z0-9_]',1q[A-Za-z0-9_][A-Za-z0-9_],1q[A-Za-z0-9_][A-Za-z0-9_],0.8
339,33,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
340,34,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
341,34,&(\w+);',&(\w+);,&(\w+);,0.8
342,34,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
343,34,t[:;]+p',t[:;]+p,t[:;]+p,1
344,34,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
345,34,zaa*',zaa*,zaa*,0.6
346,34,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.6
347,34,([}{])',([}{]),([}{]),0.25
348,34,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.3333333333
349,34,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.6
350,35,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
351,35,(\{|\})',(\{|\}),(\{|\}),0.4
352,35,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.8
353,35,[^0-9]',[^0-9],[^0-9],0.6
354,35,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.4
355,35,\.+',\.+,\.+,0.8
356,35,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],0.6
357,35,no[w-z]5',no[w-z]5,no[w-z]5,1
358,35,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.6
359,35,&(\w+);',&(\w+);,&(\w+);,0.8
360,36,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.6
361,36,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
362,36,R+',R+,R+,1
363,36,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.6
364,36,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,NA
365,36,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.8
366,36,[\W_]',[\W_],[\W_],0
367,36,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.6
368,36,(\{|\})',(\{|\}),(\{|\}),0.4
369,36,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",0.8
370,37,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
371,37,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],1
372,37,(:|;)',(:|;),(:|;),1
373,37,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
374,37,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
375,37,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
376,37,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
377,37,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
378,37,\.+',\.+,\.+,0.8
379,37,tuv\w',tuv\w,tuv\w,1
380,38,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
381,38,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),1
382,38,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
383,38,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
384,38,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
385,38,\..*',\..*,\..*,1
386,38,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],1
387,38,([\0175\0173])',([\0175\0173]),([\0175\0173]),1
388,38,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],0.8
389,38,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
390,39,RR*',RR*,RR*,1
391,39,&(\w+);',&(\w+);,&(\w+);,1
392,39,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
393,39,t[:;]+p',t[:;]+p,t[:;]+p,1
394,39,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.8
395,39,[\W_]',[\W_],[\W_],1
396,39,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),1
397,39,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
398,39,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
399,39,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.4
400,40,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,0.8
401,40,\{\$(\d+\.\d)\}',\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},0.8
402,40,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",0.6
403,40,([\0175\0173])',([\0175\0173]),([\0175\0173]),0.4
404,40,[^0-9]',[^0-9],[^0-9],0
405,40,no[w-z]5',no[w-z]5,no[w-z]5,0.8
406,40,\.+',\.+,\.+,0.8
407,40,1q\w\w',1q\w\w,1q\w\w,0.3333333333
408,40,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
409,40,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
410,41,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],1
411,41,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),0.5
412,41,za+',za+,za+,0.6
413,41,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
414,41,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,0.25
415,41,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,0.5
416,41,\{\$(\d+\.\d)\}',\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},0.25
417,41,([\072\073])',([\072\073]),([\072\073]),0.25
418,41,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.5
419,41,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.6666666667
420,42,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],0.6
421,42,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",0.6
422,42,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
423,42,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
424,42,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
425,42,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
426,42,[{][$](\d+[.]\d)[}]',[{][$](\d+[.]\d)[}],[{][$](\d+[.]\d)[}],1
427,42,za+',za+,za+,1
428,42,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
429,42,(:|;)',(:|;),(:|;),1
430,43,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
431,43,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
432,43,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],1
433,43,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
434,43,zaa*',zaa*,zaa*,1
435,43,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
436,43,&(\w+);',&(\w+);,&(\w+);,0.6
437,43,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
438,43,([}{])',([}{]),([}{]),0.8
439,43,[\D]',[\D],[\D],0.4
440,44,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.4
441,44,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),0.4
442,44,1q[A-Za-z0-9_][A-Za-z0-9_]',1q[A-Za-z0-9_][A-Za-z0-9_],1q[A-Za-z0-9_][A-Za-z0-9_],0.6
443,44,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],0.8
444,44,xyz[_\[\]`\^\\]',xyz[_\[\]`\^\\],xyz[_\[\]`\^\\],0.5
445,44,R+',R+,R+,1
446,44,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],0.6
447,44,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.5
448,44,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
449,44,(\{|\})',(\{|\}),(\{|\}),0.25
450,45,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],0.8
451,45,\.+',\.+,\.+,0.8
452,45,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
453,45,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],0.6
454,45,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.8
455,45,t[.][$]+\d+[*]',t[.][$]+\d+[*],t[.][$]+\d+[*],0.8
456,45,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
457,45,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.6
458,45,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
459,45,([:;])',([:;]),([:;]),1
460,46,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.6
461,46,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
462,46,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],1
463,46,(q4fab|ab)',(q4fab|ab),(q4fab|ab),1
464,46,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
465,46,\{\$(\d+\.\d)\}',\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},1
466,46,([:;])',([:;]),([:;]),1
467,46,[\W_]',[\W_],[\W_],0.4
468,46,no[w-z]5',no[w-z]5,no[w-z]5,0.8
469,46,za+',za+,za+,1
470,47,za+',za+,za+,1
471,47,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.8
472,47,([\072\073])',([\072\073]),([\072\073]),1
473,47,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,1
474,47,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
475,47,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.6
476,47,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
477,47,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
478,47,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
479,47,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
480,48,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",0.4
481,48,(\$\{)\d+(:[^}]+\})',(\$\{)\d+(:[^}]+\}),(\$\{)\d+(:[^}]+\}),0.6
482,48,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.8
483,48,xyz[\x5b-\x5f]',xyz[\x5b-\x5f],xyz[\x5b-\x5f],0.6
484,48,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
485,48,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",NA
486,48,[\W_]',[\W_],[\W_],0.6
487,48,R+',R+,R+,1
488,48,(:|;)',(:|;),(:|;),0.4
489,48,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
490,49,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
491,49,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
492,49,[\D]',[\D],[\D],0.4
493,49,\.+',\.+,\.+,1
494,49,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,0.8
495,49,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
496,49,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
497,49,%([0-9A-Fa-f]{2})',%([0-9A-Fa-f]{2}),%([0-9A-Fa-f]{2}),1
498,49,([:;])',([:;]),([:;]),1
499,49,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",1
500,50,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
501,50,(\{|\})',(\{|\}),(\{|\}),1
502,50,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),1
503,50,zaa*',zaa*,zaa*,1
504,50,t[:;]+p',t[:;]+p,t[:;]+p,0.8
505,50,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
506,50,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,0.8
507,50,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
508,50,"xg1([0-9]{1,3})%'","xg1([0-9]{1,3})%","xg1([0-9]{1,3})%",1
509,50,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
510,51,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
511,51,&(\w+);',&(\w+);,&(\w+);,0.8
512,51,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
513,51,t[:;]+p',t[:;]+p,t[:;]+p,1
514,51,"(dee(do){1,2})'","(dee(do){1,2})","(dee(do){1,2})",0.8
515,51,zaa*',zaa*,zaa*,1
516,51,([}{])',([}{]),([}{]),1
517,51,[\s]',[\s],[\s],1
518,51,fa[lmnop][lmnop][lmnop]',fa[lmnop][lmnop][lmnop],fa[lmnop][lmnop][lmnop],1
519,51,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
520,52,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
521,52,[\D]',[\D],[\D],0.4
522,52,za+',za+,za+,1
523,52,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.4
524,52,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.8
525,52,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.6
526,52,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],1
527,52,no[w-z]5',no[w-z]5,no[w-z]5,1
528,52,(\{|\})',(\{|\}),(\{|\}),1
529,52,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
530,53,\{\$(\d+\.\d)\}',\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},1
531,53,\..*',\..*,\..*,0.8
532,53,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
533,53,"((q4f){0,1}ab)'","((q4f){0,1}ab)","((q4f){0,1}ab)",1
534,53,no[w-z]5',no[w-z]5,no[w-z]5,1
535,53,[\D]',[\D],[\D],1
536,53,(:|;)',(:|;),(:|;),1
537,53,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
538,53,1q[A-Za-z0-9_][A-Za-z0-9_]',1q[A-Za-z0-9_][A-Za-z0-9_],1q[A-Za-z0-9_][A-Za-z0-9_],1
539,53,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
540,54,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),1
541,54,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
542,54,RR*',RR*,RR*,1
543,54,tri[a-f]3',tri[a-f]3,tri[a-f]3,1
544,54,"xg1(\d{1,3})%'","xg1(\d{1,3})%","xg1(\d{1,3})%",1
545,54,([}{])',([}{]),([}{]),0.8
546,54,tuv\w',tuv\w,tuv\w,1
547,54,fa[lmnop]{3}',fa[lmnop]{3},fa[lmnop]{3},1
548,54,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],1
549,54,t[\072-\073]+p',t[\072-\073]+p,t[\072-\073]+p,1
550,55,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),0.4
551,55,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
552,55,([\072\073])',([\072\073]),([\072\073]),0.25
553,55,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),1
554,55,zaa*',zaa*,zaa*,0.6
555,55,tri[abcdef]3',tri[abcdef]3,tri[abcdef]3,1
556,55,&(\w+);',&(\w+);,&(\w+);,0.8
557,55,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],1
558,55,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],0.75
559,55,[a-f]([0-9]+)[a-f]',[a-f]([0-9]+)[a-f],[a-f]([0-9]+)[a-f],0.8
560,56,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.5
561,56,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
562,56,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,0.5
563,56,(q4fab|ab)',(q4fab|ab),(q4fab|ab),0.8
564,56,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,0.5
565,56,RR*',RR*,RR*,0.6
566,56,[^0-9A-Za-z]',[^0-9A-Za-z],[^0-9A-Za-z],0.6
567,56,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.8
568,56,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),0.8
569,56,(\{|\})',(\{|\}),(\{|\}),0
570,57,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
571,57,[\s]',[\s],[\s],1
572,57,([$][{])\d+(:[^}]+[}])',([$][{])\d+(:[^}]+[}]),([$][{])\d+(:[^}]+[}]),0.6
573,57,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
574,57,(deedo(do)?)',(deedo(do)?),(deedo(do)?),0.6
575,57,&([A-Za-z0-9_]+);',&([A-Za-z0-9_]+);,&([A-Za-z0-9_]+);,1
576,57,za+',za+,za+,1
577,57,([:;])',([:;]),([:;]),1
578,57,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,1
579,57,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
580,58,(\{|\})',(\{|\}),(\{|\}),0.8
581,58,xyz[\0133-\0140]',xyz[\0133-\0140],xyz[\0133-\0140],0.5
582,58,[\D]',[\D],[\D],1
583,58,(q4fab|ab)',(q4fab|ab),(q4fab|ab),0.75
584,58,%([0-9a-fA-F][0-9a-fA-F])',%([0-9a-fA-F][0-9a-fA-F]),%([0-9a-fA-F][0-9a-fA-F]),0.4
585,58,R+',R+,R+,1
586,58,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,0.8
587,58,1q[A-Za-z0-9_][A-Za-z0-9_]',1q[A-Za-z0-9_][A-Za-z0-9_],1q[A-Za-z0-9_][A-Za-z0-9_],0.6
588,58,no[wxyz]5',no[wxyz]5,no[wxyz]5,1
589,58,(\d+)\.(\d+)',(\d+)\.(\d+),(\d+)\.(\d+),1
590,59,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
591,59,([}{])',([}{]),([}{]),1
592,59,[\t\r\f\n ]',[\t\r\f\n ],[\t\r\f\n ],1
593,59,tri(a|b|c|d|e|f)3',tri(a|b|c|d|e|f)3,tri(a|b|c|d|e|f)3,1
594,59,(deedo|deedodo)',(deedo|deedodo),(deedo|deedodo),1
595,59,([0-9]+)\.([0-9]+)',([0-9]+)\.([0-9]+),([0-9]+)\.([0-9]+),1
596,59,t\.\$+\d+\*',t\.\$+\d+\*,t\.\$+\d+\*,1
597,59,1q\w\w',1q\w\w,1q\w\w,1
598,59,t[:;]+p',t[:;]+p,t[:;]+p,1
599,59,RR*',RR*,RR*,0.6
600,60,&d([aeiou]{2})z',&d([aeiou]{2})z,&d([aeiou]{2})z,1
601,60,[\D]',[\D],[\D],0.4
602,60,\{\$(\d+\.\d)\}',\{\$(\d+\.\d)\},\{\$(\d+\.\d)\},1
603,60,za+',za+,za+,1
604,60,(deedo(do)?)',(deedo(do)?),(deedo(do)?),1
605,60,[a-f](\d+)[a-f]',[a-f](\d+)[a-f],[a-f](\d+)[a-f],1
606,60,([:;])',([:;]),([:;]),1
607,60,no(w|x|y|z)5',no(w|x|y|z)5,no(w|x|y|z)5,1
608,60,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],1
609,60,t[\x3a-\x3b]+p',t[\x3a-\x3b]+p,t[\x3a-\x3b]+p,0.8
610,61,((q4f)?ab)',((q4f)?ab),((q4f)?ab),0.6
611,61,&d([aeiou][aeiou])z',&d([aeiou][aeiou])z,&d([aeiou][aeiou])z,1
612,61,tuv[A-Za-z0-9_]',tuv[A-Za-z0-9_],tuv[A-Za-z0-9_],0.8
